date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:21:26,51.4543,51.4263,pina,10.6528,0.0999755,0.839
2022-09-04/04:21:27,51.3407,51.3301,pina,10.6116,0.0886729,0.839
2022-09-04/04:21:28,51.2906,51.2268,pina,10.8397,0.125788,0.857
2022-09-04/04:21:29,51.1823,51.2268,pina,10.7084,0.155429,0.857
2022-09-04/04:21:30,51.1358,51.116,pina,10.909,0.138775,0.857
2022-09-04/04:21:31,51.0906,51.116,pina,11.103,0.138775,0.857
2022-09-04/04:21:32,51.0465,50.9973,pina,11.2903,0.24294,0.95
2022-09-04/04:21:33,50.944,50.9973,pina,11.0268,0.68878,1.043
2022-09-04/04:21:34,50.9023,50.87,pina,11.1864,0.764623,1.043
2022-09-04/04:21:35,50.8614,50.87,pina,11.3393,0.81096,1.043
2022-09-04/04:21:36,50.7199,50.7336,pina,11.0897,0.684761,1.043
2022-09-04/04:21:37,50.643,50.7336,pina,11.3192,0.593384,1.043
2022-09-04/04:21:38,50.6054,50.5874,pina,11.4238,0.550643,0.97
2022-09-04/04:21:39,50.5683,50.5874,pina,11.5215,0.487166,0.95
2022-09-04/04:21:40,50.4955,50.4308,pina,11.6962,0.452477,0.95
2022-09-04/04:21:41,50.4597,50.4308,pina,11.7733,0.527783,0.97
2022-09-04/04:21:42,50.389,50.4308,pina,11.9067,0.419171,0.95
2022-09-04/04:21:43,50.3167,50.2628,pina,12.0124,0.354185,0.95
2022-09-04/04:21:44,50.2006,50.2628,pina,11.3167,0.310637,0.95
2022-09-04/04:21:45,50.1634,50.0828,pina,11.3381,0.310637,0.95
2022-09-04/04:21:46,50.0889,50.0828,pina,11.3603,0.282687,0.95
2022-09-04/04:21:47,50.0516,50.0828,pina,11.361,0.261242,0.95
2022-09-04/04:21:48,49.9585,49.8898,pina,12.1237,0.273657,0.95
2022-09-04/04:21:49,49.8856,49.8898,pina,12.0625,0.23221,0.93
2022-09-04/04:21:50,49.8114,49.8898,pina,11.9734,0.201054,0.93
2022-09-04/04:21:51,49.7738,49.6827,pina,11.9185,0.145857,0.857
2022-09-04/04:21:52,49.6971,49.6816,pina,11.7879,-1,-1
2022-09-04/04:21:53,49.658,49.6816,pina,11.7122,-1,-1
2022-09-04/04:21:54,49.5779,49.6816,pina,11.5402,0.0449166,0.756
2022-09-04/04:21:55,49.5369,49.4485,pina,11.4439,0.0793498,0.839
2022-09-04/04:21:56,49.4094,49.4485,pina,11.783,0.152599,0.857
2022-09-04/04:21:57,49.3666,49.4485,pina,11.6518,0.142074,0.857
2022-09-04/04:21:58,49.3237,49.1982,pina,11.5138,0.0600808,0.839
2022-09-04/04:21:59,49.2798,49.1982,pina,11.3691,-1,-1
2022-09-04/04:22:00,49.146,49.1982,pina,11.5064,0.119328,0.857
2022-09-04/04:22:01,49.146,49.1982,pina,11.5064,0.119328,0.857
2022-09-04/04:22:02,49.0983,48.9294,pina,11.327,0.143765,0.857
2022-09-04/04:22:03,48.9545,48.9294,pina,11.3184,0.165032,0.857
2022-09-04/04:22:04,48.9545,48.9294,pina,11.3184,0.165032,0.857
2022-09-04/04:22:05,48.8004,48.9294,pina,11.1917,0.134079,0.857
2022-09-04/04:22:06,48.8004,48.8708,pina,11.1917,0.134079,0.857
2022-09-04/04:22:07,48.7429,48.6407,pina,10.9506,0.0985082,0.839
2022-09-04/04:22:08,48.633,48.6407,pina,10.9472,0.118277,0.857
2022-09-04/04:22:09,48.633,48.5668,pina,10.9472,0.118277,0.857
2022-09-04/04:22:10,48.5158,48.5668,pina,10.8742,0.0418445,0.756
2022-09-04/04:22:11,48.5158,48.5668,pina,10.8742,0.141197,0.857
2022-09-04/04:22:12,48.39,48.3305,pina,10.7319,0.131145,0.857
2022-09-04/04:22:13,48.39,48.2399,pina,10.7319,0.131145,0.857
2022-09-04/04:22:14,48.2539,48.2399,pina,10.5205,0.161494,0.857
2022-09-04/04:22:15,48.2539,48.2399,pina,10.5205,0.161494,0.857
2022-09-04/04:22:16,48.1054,48.2399,pina,10.2401,0.181205,0.93
2022-09-04/04:22:17,48.1054,48.1243,pina,10.2401,0.186247,0.93
2022-09-04/04:22:18,48.0311,47.8886,pina,10.2541,0.193487,0.93
2022-09-04/04:22:19,47.9521,47.8886,pina,10.2333,0.163943,0.857
2022-09-04/04:22:20,47.8594,47.8886,pina,9.85687,0.123709,0.857
2022-09-04/04:22:21,47.7709,47.8886,pina,9.78767,0.13555,0.857
2022-09-04/04:22:22,47.7709,47.7532,pina,9.78767,0.13555,0.857
2022-09-04/04:22:23,47.676,47.7532,pina,9.68379,0.0957514,0.839
2022-09-04/04:22:24,47.5741,47.7532,pina,9.54533,0.113938,0.857
