model,time_utc,elfin_x_gsm_re,elfin_y_gsm_re,elfin_z_gsm_re,elfin_r_re,elfin_b_tot_nt,field_line_type,fp_north_x_gsm_re,fp_north_y_gsm_re,fp_north_z_gsm_re,fp_north_lat_deg,fp_north_lon_deg,fp_north_alt_km,fp_south_x_gsm_re,fp_south_y_gsm_re,fp_south_z_gsm_re,fp_south_lat_deg,fp_south_lon_deg,fp_south_alt_km,field_line_len_re,flux_tube_vol_re_nt,b_normal_north_nt,b_normal_south_nt,min_b_tot_nt
argus,2022-09-04T04:00:40Z,0.713892478948,-0.395219763700,0.651785140259,1.04434908061,50306.6386162,closed_100km,0.687713423304,-0.379565118644,0.642830399411,46.7187986850,88.8634930816,99.9998616625,0.708044313425,-0.355911768971,-0.635603927483,-31.5651386976,93.7997933012,99.9998897119,2.96852400689,0.000319715739514,-51429.2953973,48658.5928829,4972.78224228
argus,2022-09-04T04:00:41Z,0.713207494276,-0.394879834959,0.652736777905,1.04434683663,50327.7652902,closed_100km,0.687058195823,-0.379238688345,0.643717143990,46.7831792039,88.8520940968,99.9998616996,0.707490978754,-0.355482936839,-0.636454348513,-31.6270149736,93.8071379266,99.9998894702,2.98037064170,0.000322848533790,-51471.4690380,48696.3225921,4937.62051376
argus,2022-09-04T04:00:42Z,0.712521519513,-0.394539358537,0.653687546323,1.04434459324,50348.8139351,closed_100km,0.686402022419,-0.378911733881,0.644603152996,46.8475653184,88.8406761028,99.9998617380,0.706935334678,-0.355052638728,-0.637306225361,-31.6890497816,93.8145226882,99.9998892286,2.99227056037,0.000326017923976,-51513.4869138,48734.0476728,4902.49663499
argus,2022-09-04T04:00:43Z,0.711834581414,-0.394198320512,0.654637365298,1.04434231325,50369.7893137,closed_100km,0.685744960609,-0.378584261136,0.645488361674,46.9119524419,88.8292411742,99.9998617778,0.706378996421,-0.354621782192,-0.638157264801,-31.7510767010,93.8219361834,99.9998889879,3.00422189372,0.000329224136280,-51555.3460984,48771.6685379,4868.02969330
argus,2022-09-04T04:00:44Z,0.711146699199,-0.393856726167,0.655586386788,1.04434010699,50390.6753141,closed_100km,0.685086934077,-0.378256218499,0.646372880182,46.9763487578,88.8177893783,99.9998618190,0.705821880386,-0.354190290509,-0.639007601310,-31.8131055364,93.8293809092,99.9998887479,3.01622659400,0.000332468083047,-51597.0519894,48809.1917517,4833.09389323
argus,2022-09-04T04:00:45Z,0.710457844041,-0.393514567654,0.656534382807,1.04433780882,50411.4958091,closed_100km,0.684428057282,-0.377927683479,0.647256542394,47.0407421539,88.8063203890,99.9998618615,0.705264055344,-0.353758250610,-0.639857111273,-31.8751274258,93.8368535455,99.9998885087,3.02828269240,0.000335749656930,-51638.5964945,48846.6118473,4798.68466199
argus,2022-09-04T04:00:46Z,0.709768055851,-0.393171889463,0.657481578638,1.04433560411,50432.2229518,closed_100km,0.683768209682,-0.377598603563,0.648139505202,47.1051441977,88.7948323459,99.9998619055,0.704705390053,-0.353325576056,-0.640705985899,-31.9371563584,93.8443559015,99.9998882703,3.04039279684,0.000339069966102,-51679.9870591,48883.9376218,4764.54607121
argus,2022-09-04T04:00:47Z,0.709077293245,-0.392828613207,0.658427827613,1.04433334301,50452.8800149,closed_100km,0.683107479744,-0.377268980564,0.649021674149,47.1695481581,88.7833290105,99.9998619509,0.704145927190,-0.352892257723,-0.641554182685,-31.9991892725,93.8518897813,99.9998880326,3.05255572981,0.000342429166457,-51721.2195249,48921.1679788,4730.20594789
argus,2022-09-04T04:00:48Z,0.708385551633,-0.392484826030,0.659373204580,1.04433110235,50473.4545192,closed_100km,0.682445797529,-0.376938858385,0.649903096648,47.2339574292,88.7718040898,99.9998619977,0.703585563720,-0.352458321195,-0.642401799154,-32.0612335055,93.8594509604,99.9998877957,3.06477260586,0.000345827978546,-51762.2955396,48958.3065742,4696.51246300
argus,2022-09-04T04:00:49Z,0.707692892664,-0.392140468732,0.660317703770,1.04432889812,50493.9438996,closed_100km,0.681783208379,-0.376608172465,0.650783762002,47.2983715218,88.7602640266,99.9998620458,0.703024299585,-0.352023670308,-0.643248886400,-32.1232927552,93.8670453843,99.9998875596,3.07704361869,0.000349266902965,-51803.2152876,48995.3570050,4662.56434649
argus,2022-09-04T04:00:50Z,0.706999270363,-0.391795550044,0.661261253383,1.04432665702,50514.3591632,closed_100km,0.681119271605,-0.376276731859,0.651664236750,47.3628321822,88.7487021443,99.9998620954,0.702462100257,-0.351588334634,-0.644095464109,-32.1853686496,93.8746704344,99.9998873242,3.08936888368,0.000352746318217,-51844.0051598,49032.3199192,4628.95710916
argus,2022-09-04T04:00:51Z,0.706304657974,-0.391450083941,0.662203933594,1.04432441691,50534.6951171,closed_100km,0.680454861513,-0.375945010981,0.652543339309,47.4272524554,88.7371247524,99.9998621463,0.701898861607,-0.351152273231,-0.644941665271,-32.2474710794,93.8823259047,99.9998870895,3.10174883579,0.000356267008744,-51884.6093001,49069.2011335,4595.73510598
argus,2022-09-04T04:00:52Z,0.705609129704,-0.391104081771,0.663145657319,1.04432217707,50554.9500293,closed_100km,0.679789576645,-0.375612777336,0.653421620987,47.4916730549,88.7255298447,99.9998621986,0.701336174870,-0.350716406330,-0.645785272800,-32.3094375913,93.8899987185,99.9998868561,3.11418203853,0.000359829203993,-51925.0539658,49105.9062016,4562.22701545
argus,2022-09-04T04:00:53Z,0.704912611347,-0.390757532245,0.664086511606,1.04431993830,50575.1253633,closed_100km,0.679123345160,-0.375280019489,0.654299162255,47.5560999514,88.7139148708,99.9998622523,0.700771548170,-0.350279289455,-0.646629760622,-32.3715228905,93.8977098084,99.9998866232,3.12667159934,0.000363433834443,-51965.3427456,49142.5841763,4529.35594291
argus,2022-09-04T04:00:54Z,0.704215175635,-0.390410412746,0.665026488018,1.04431773601,50595.2149211,closed_100km,0.678456206649,-0.374946698004,0.655175944107,47.6205319783,88.7022842944,99.9998623074,0.700205785104,-0.349841336277,-0.647474031780,-32.4336466990,93.9054557598,99.9998863908,3.13921705606,0.000367081397397,-52005.4752286,49179.1889227,4496.29524503
argus,2022-09-04T04:00:55Z,0.703516776594,-0.390062732011,0.665965514756,1.04431549672,50615.2297701,closed_100km,0.677788179415,-0.374612858523,0.656051921322,47.6849658048,88.6906356585,99.9998623639,0.699638825973,-0.349402569133,-0.648318134535,-32.4958128264,93.9132337193,99.9998861592,3.15181824658,0.000370772301268,-52045.4490440,49215.7221180,4463.53674669
argus,2022-09-04T04:00:56Z,0.702817425307,-0.389714526656,0.666903589141,1.04431323979,50635.1661655,closed_100km,0.677119257671,-0.374278526196,0.656927085337,47.7494008212,88.6789668379,99.9998624218,0.699071067507,-0.348963215989,-0.649161518338,-32.5579809377,93.9210405837,99.9998859284,3.16447490600,0.000374507087125,-52085.2636029,49252.1606771,4431.14279738
argus,2022-09-04T04:00:57Z,0.702117129910,-0.389365765356,0.667840865791,1.04431105776,50655.0112095,closed_100km,0.676449370849,-0.373943624070,0.657801551476,47.8138457591,88.6672799266,99.9998624810,0.698505096227,-0.348524757752,-0.650000630838,-32.6198894082,93.9288557340,99.9998856994,3.17718740606,0.000378286836278,-52124.9245739,49288.3547786,4398.50709046
argus,2022-09-04T04:00:58Z,0.701415872660,-0.389016476883,0.668777114060,1.04430880203,50674.7857862,closed_100km,0.675778452063,-0.373608164634,0.658675379872,47.8783050859,88.6555708929,99.9998625417,0.697936048072,-0.348084453716,-0.650842136326,-32.6820290828,93.9367154864,99.9998854704,3.18995697750,0.000382111491635,-52164.4343327,49324.5863977,4366.50260211
argus,2022-09-04T04:00:59Z,0.700713661692,-0.388666629911,0.669712488569,1.04430656525,50694.4769740,closed_100km,0.675106788380,-0.373272255191,0.659548216861,47.9427527473,88.6438451887,99.9998626037,0.697369124980,-0.347645198298,-0.651678946321,-32.7438773838,93.9445833534,99.9998852432,3.20278209519,0.000385982121470,-52203.7769585,49360.5575395,4334.24697869
argus,2022-09-04T04:01:00Z,0.700010533371,-0.388316213146,0.670646985088,1.04430436503,50714.0816326,closed_100km,0.674434217642,-0.372935782277,0.660420291577,48.0072059014,88.6321033124,99.9998626671,0.696798425153,-0.347203623187,-0.652519131986,-32.8060298225,93.9525061989,99.9998850159,3.21566673305,0.000389899385828,-52242.9632623,49396.6087447,4302.37747953
argus,2022-09-04T04:01:01Z,0.699306452808,-0.387965271915,0.671580529159,1.04430214703,50733.6072727,closed_100km,0.673760752358,-0.372598816679,0.661291551166,48.0716605656,88.6203407433,99.9998627319,0.696229921124,-0.346763214138,-0.653354501265,-32.8678817115,93.9604319927,99.9998847904,3.22860667063,0.000393863625882,-52281.9903374,49432.3948830,4270.73245322
