time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:22:18 287        133.33        133.33    103.00    103.00  851.50   42.11  260.54
 2022-09-04/04:22:18 612          0.00        363.64      0.00    101.00  851.50   42.11  260.54
 2022-09-04/04:22:20  40          0.00     145766.12      0.00     50.00  851.50   42.23  260.50
 2022-09-04/04:22:20 130          0.00      36631.94      0.00     23.00  851.50   42.23  260.50
 2022-09-04/04:22:20 287          0.00        133.33      0.00    103.00  851.50   42.23  260.50
 2022-09-04/04:22:20 612          0.00          0.00      0.00      0.00  851.50   42.23  260.50
 2022-09-04/04:22:22  40        322.58     153508.06     71.00     50.00  851.50   42.34  260.46
 2022-09-04/04:22:22 130        138.89      34687.50     74.00     23.00  851.50   42.34  260.46
 2022-09-04/04:22:22 287        133.33        133.33    103.00    103.00  851.50   42.34  260.46
 2022-09-04/04:22:22 612        181.82        181.82    124.00    124.00  851.50   42.34  260.46
 2022-09-04/04:22:24  40         80.65     145766.12    112.00     50.00  851.50   42.46  260.42
 2022-09-04/04:22:24 130          0.00      36631.94      0.00     23.00  851.50   42.46  260.42
 2022-09-04/04:22:24 287          0.00        133.33      0.00    103.00  851.50   42.46  260.42
 2022-09-04/04:22:24 612        363.64        363.64    101.00    101.00  851.50   42.46  260.42
 2022-09-04/04:22:26  40        241.94     153508.06     76.00     50.00  851.50   42.58  260.37
 2022-09-04/04:22:26 130          0.00      41076.39      0.00     23.00  851.50   42.58  260.37
 2022-09-04/04:22:26 287          0.00        266.67      0.00     75.00  851.50   42.58  260.37
 2022-09-04/04:22:26 612          0.00          0.00      0.00      0.00  851.50   42.58  260.37
 2022-09-04/04:22:28  40        241.94     161250.00     76.00     50.00  851.50   42.69  260.33
 2022-09-04/04:22:28 130        208.33      43298.61     62.00     23.00  851.50   42.69  260.33
 2022-09-04/04:22:28 287        266.67        133.33     75.00    103.00  851.50   42.69  260.33
 2022-09-04/04:22:28 612          0.00        181.82      0.00    124.00  851.50   42.69  260.33
 2022-09-04/04:22:30  40        161.29     161250.00     87.00     50.00  851.50   42.81  260.29
